C_tr,C_inf,C_inf_allocated,Accuracy,Policy,Params,Tokens
1.2067926406393264e+25,7259722756498655.0,7364921771696304.0,0.04648787602536268,cot,126848604.80847901,11446.27923572304
1.2067926406393264e+25,8666437807154700.0,8847319226258546.0,0.05915781662783485,cot,126848604.80847901,13664.222511930071
1.2067926406393264e+25,1.034027035025134e+16,1.062809082265327e+16,0.07974030131594216,cot,126848604.80847901,16303.325315817994
1.2067926406393264e+25,1.237243748350254e+16,1.276729274098251e+16,0.09892677225759883,cot,126848604.80847901,19507.408066778396
1.2067926406393264e+25,1.4684703229637128e+16,1.5337069155121438e+16,0.12819453823809873,cot,126848604.80847901,23153.117453374703
1.2067926406393264e+25,1.746667848740204e+16,1.8424085281127304e+16,0.15132300728521467,cot,126848604.80847901,27539.409698315434
1.2067926406393264e+25,2.0616408736220176e+16,2.2132450145006944e+16,0.1709396468784075,cot,126848604.80847901,32505.5348733991
1.2067926406393264e+25,2.466921654520155e+16,2.658722763962619e+16,0.19030376475435137,cot,126848604.80847901,38895.52680921971
1.2067926406393264e+25,2.9290378909088468e+16,3.193865428047875e+16,0.22069816020605243,cot,126848604.80847901,46181.633535997076
1.2067926406393264e+25,3.505268514499646e+16,3.8367205903318376e+16,0.2431722150088946,cot,126848604.80847901,55266.9620575179
1.2067926406393264e+25,4.195830925954553e+16,4.6089684177061784e+16,0.2622187283007376,cot,126848604.80847901,66154.94009239729
1.2067926406393264e+25,4.967455745689098e+16,5.536652819843705e+16,0.28178939940965303,cot,126848604.80847901,78321.01509021966
1.2067926406393264e+25,5.956080503971663e+16,6.651059775050343e+16,0.31284967337069736,cot,126848604.80847901,93908.4905658109
1.2067926406393264e+25,7.112636462955976e+16,7.989772443875483e+16,0.3344098087984458,cot,126848604.80847901,112143.70822122818
1.2067926406393264e+25,8.463562881163758e+16,9.597938653983808e+16,0.35371813701038235,cot,126848604.80847901,133443.5312700897
1.2067926406393264e+25,1.006129203056244e+17,1.152979350197266e+17,0.37340532064868054,cot,126848604.80847901,158634.650270744
1.2067926406393264e+25,1.2072685297723134e+17,1.3850488421589698e+17,0.40378141625819874,cot,126848604.80847901,190347.93982875804
1.2067926406393264e+25,1.441638371890808e+17,1.6638288403323978e+17,0.4246899943131086,cot,126848604.80847901,227300.62724260156
1.2067926406393264e+25,1.7112244108322685e+17,1.998721146617942e+17,0.4449603813276775,cot,126848604.80847901,269805.7914654942
1.2067926406393264e+25,2.042769192131095e+17,2.401019939731089e+17,0.46478612226192917,cot,126848604.80847901,322079.88337204786
1.2067926406393264e+25,2.4787744715594646e+17,2.8842926692105965e+17,0.4938599677916049,cot,126848604.80847901,390824.0812426775
1.2067926406393264e+25,2.9189207811557677e+17,3.464837615048567e+17,0.5137049228535429,cot,126848604.80847901,460221.1881735505
1.2067926406393264e+25,3.443151849120456e+17,4.1622335440533235e+17,0.5350103735941494,cot,126848604.80847901,542875.7934419636
1.2067926406393264e+25,4.128040514744628e+17,4.9999999999999994e+17,0.554888977496974,cot,126848604.80847901,650861.0041044292
1.325711365590111e+25,9999999999999.959,10000000000000.0,0.0,cot,132951688.7489643,15.04305826288778
1.325711365590111e+25,12012780991454.928,12012780991454.914,0.0,cot,132951688.7489643,18.070896435376802
1.325711365590111e+25,14430690714865.975,14430690714865.992,0.0,cot,132951688.7489643,21.708172119744347
1.325711365590111e+25,17335272711310.66,17335272711310.713,0.0,cot,132951688.7489643,26.077551739929593
1.325711365590111e+25,20824483450811.97,20824483450812.043,0.0,cot,132951688.7489643,31.32639178451081
1.325711365590111e+25,25015995895478.285,25015995895478.234,0.0,cot,132951688.7489643,37.63170837598429
1.325711365590111e+25,30051167997551.418,30051167997551.387,0.0,cot,132951688.7489643,45.20614710549965
1.325711365590111e+25,36099809969200.266,36099809969200.36,0.0,cot,132951688.7489643,54.30515446458589
1.325711365590111e+25,43365911099314.5,43365911099314.47,0.0,cot,132951688.7489643,65.23559272902025
1.325711365590111e+25,52094519253096.44,52094519253096.64,0.0,cot,132951688.7489643,78.36608883014621
1.325711365590111e+25,62580005064258.164,62580005064258.14,0.0,cot,132951688.7489643,94.13946622734517
1.325711365590111e+25,75175989528107.16,75175989528107.25,0.0,cot,132951688.7489643,113.08767904415622
1.325711365590111e+25,90307269801705.67,90307269801705.67,0.0,cot,132951688.7489643,135.84975211893902
1.325711365590111e+25,108484145406411.6,108484145406412.03,0.0,cot,132951688.7489643,163.1933319948246
1.325711365590111e+25,130319627981237.53,130319627981237.75,0.0,cot,132951688.7489643,196.04057565196246
1.325711365590111e+25,156550114982648.78,156550114982648.88,0.0,cot,132951688.7489643,235.49925007457762
1.325711365590111e+25,188060224547363.53,188060224547363.8,0.0,cot,132951688.7489643,282.900091479776
1.325711365590111e+25,225912629069131.72,225912629069131.47,0.0,cot,132951688.7489643,339.84168414091175
1.325711365590111e+25,271383893621127.56,271383893621126.75,0.0,cot,132951688.7489643,408.2443723351978
1.325711365590111e+25,326007527867888.3,326007527867889.44,0.0,cot,132951688.7489643,490.4150235856675
1.325711365590111e+25,391625703384258.25,391625703384257.44,0.0,cot,132951688.7489643,589.1248273253829
1.325711365590111e+25,470451380537956.3,470451380537956.8,0.0,cot,132951688.7489643,707.7027527288495
1.325711365590111e+25,565142940153010.4,565142940153009.0,0.0,cot,132951688.7489643,850.1478175581472
1.325711365590111e+25,678893836892500.1,678893836892498.1,0.0,cot,132951688.7489643,1021.2639542689354
1.325711365590111e+25,815540297903810.9,815540297903809.5,0.0,cot,132951688.7489643,1226.8220217099934
1.325711365590111e+25,979690698842433.9,979690698842436.1,0.0,cot,132951688.7489643,1473.754426229604
1.325711365590111e+25,1176880980455953.5,1176880980455955.0,5.0223118398783654e-21,cot,132951688.7489643,1770.3889157483472
1.325711365590111e+25,1413761347122612.2,1413761347122611.8,2.0696516382676294e-11,cot,132951688.7489643,2126.729431458426
1.325711365590111e+25,1698320543716823.5,1698320543716820.5,1.8140639704017681e-06,cot,132951688.7489643,2554.7934888191535
1.325711365590111e+25,2040155274495875.0,2040155274495871.2,0.0006754920728990026,cot,132951688.7489643,3069.0174659579384
1.325711365590111e+25,2449736035015049.0,2450793850108048.5,0.005283385967016844,cot,132951688.7489643,3685.1521903427233
1.325711365590111e+25,2939823973422334.5,2944084977655257.0,0.006570898748689769,cot,132951688.7489643,4422.394331482661
1.325711365590111e+25,3528000999392472.5,3536664805680504.0,0.010800695484860201,cot,132951688.7489643,5307.19245853875
1.325711365590111e+25,4230609322438736.5,4248517975082634.5,0.014031626732538159,cot,132951688.7489643,6364.130252496237
1.325711365590111e+25,5068716851419447.0,5103651597292699.0,0.025341750065787365,cot,132951688.7489643,7624.900291398416
1.325711365590111e+25,6066779936857770.0,6130904889496625.0,0.031882077080367534,cot,132951688.7489643,9126.292405827046
1.325711365590111e+25,7255659993374155.0,7364921771696304.0,0.0439415174569022,cot,132951688.7489643,10914.731601603182
1.325711365590111e+25,8680528797019812.0,8847319226258546.0,0.05375455324844829,cot,132951688.7489643,13058.170044624472
1.325711365590111e+25,1.0366267918982032e+16,1.062809082265327e+16,0.07651886149947344,cot,132951688.7489643,15594.03722739518
1.325711365590111e+25,1.2323054535111614e+16,1.276729274098251e+16,0.09504070125447868,cot,132951688.7489643,18537.642734842826
1.325711365590111e+25,1.4707191327383244e+16,1.5337069155121438e+16,0.12225651751896478,cot,132951688.7489643,22124.11360212649
1.325711365590111e+25,1.7504330083312238e+16,1.8424085281127304e+16,0.14453439210226976,cot,132951688.7489643,26331.86572960864
1.325711365590111e+25,2.072324905148298e+16,2.2132450145006944e+16,0.16851221108091236,cot,132951688.7489643,31174.104287779362
1.325711365590111e+25,2.4817822362031096e+16,2.658722763962619e+16,0.18736245182742614,cot,132951688.7489643,37333.594775003454
1.325711365590111e+25,2.9407493514783584e+16,3.193865428047875e+16,0.2145082059425826,cot,132951688.7489643,44237.86383083858
1.325711365590111e+25,3.50176161494652e+16,3.8367205903318376e+16,0.23555019617304565,cot,132951688.7489643,52677.20399638472
1.325711365590111e+25,4.220428982747499e+16,4.6089684177061784e+16,0.2597288765261771,cot,132951688.7489643,63488.159081851096
1.325711365590111e+25,4.998629931551738e+16,5.536652819843705e+16,0.27907658304134125,cot,132951688.7489643,75194.68129494785
1.325711365590111e+25,5.9445386330590824e+16,6.651059775050343e+16,0.30565409313669867,cot,132951688.7489643,89424.04100309542
1.325711365590111e+25,7.081601369521171e+16,7.989772443875483e+16,0.3265396698838581,cot,132951688.7489643,106528.9419962533
1.325711365590111e+25,8.51362832991486e+16,9.597938653983808e+16,0.3506499025789084,cot,132951688.7489643,128071.00699548176
